[2014/07/07 18:58:29] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 2810, 2862)
[2014/07/07 18:58:30] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 584, 636)
[2014/07/07 18:58:30] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 2704, 2756)
[2014/07/07 18:58:30] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 2916, 2968)
[2014/07/07 18:58:30] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1, 53)
466)
[2014/07/07 18:58:30] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 5460, 5512)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 372, 424)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1432, 1484)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 4983, 5035)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 2280, 2332)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 2757, 2809)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 4400, 4452)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1114, 1166)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 531, 583)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1750, 1802)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 160, 212)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 6149, 6201)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 4506, 4558)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 5036, 5088)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1220, 1272)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 2863, 2915)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 2333, 2385)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1697, 1749)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 690, 742)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 5195, 5247)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 4082, 4134)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 3552, 3604)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1909, 1961)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 3340, 3392)
014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 5725, 5777)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 2439, 2491)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 5566, 5618)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 2598, 2650)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 2068, 2120)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 6467, 6519)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 478, 530)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 5884, 5936)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 3393, 3445)
2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 2545, 2597)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 3181, 3233)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1538, 1590)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 4665, 4717)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 3287, 3339)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 4188, 4240)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1644, 1696)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 5831, 5883)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 54, 106)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 3923, 3975)
[2014/07/07 18:58:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 4824, 4876)
[2014/07/07 18:58:32] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 6308, 6360)
[2014/07/07 18:58:32] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 5354, 5406)
[2014/07/07 18:58:32] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 3022, 3074)
[2014/07/07 19:40:44] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1856, 1908). Elapsed time: 00:42:14
[2014/07/07 19:42:58] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 3817, 3869). Elapsed time: 00:44:27
[2014/07/07 19:43:03] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 5407, 5459). Elapsed time: 00:44:33
[2014/07/07 19:44:26] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1644, 1696). Elapsed time: 00:45:54
[2014/07/07 19:46:03] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1167, 1219). Elapsed time: 00:47:33
[2014/07/07 19:46:44] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 2015, 2067). Elapsed time: 00:48:15
[2014/07/07 19:46:57] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 2810, 2862). Elapsed time: 00:48:28
[2014/07/07 19:46:58] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 4294, 4346). Elapsed time: 00:48:27
[2014/07/07 19:49:41] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 584, 636). Elapsed time: 00:51:10
[2014/07/07 19:50:46] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 425, 477). Elapsed time: 00:52:15
[2014/07/07 19:51:04] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 54, 106). Elapsed time: 00:52:32
[2014/07/07 19:51:12] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 6414, 6466). Elapsed time: 00:52:41
[2014/07/07 19:51:35] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 5460, 5512). Elapsed time: 00:53:04
[2014/07/07 19:51:50] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 5937, 5989). Elapsed time: 00:53:20
[2014/07/07 19:51:55] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 4188, 4240). Elapsed time: 00:53:23
[2014/07/07 19:52:05] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 3128, 3180). Elapsed time: 00:53:35
[2014/07/07 19:52:09] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 3499, 3551). Elapsed time: 00:53:39
[2014/07/07 19:52:25] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 266, 318). Elapsed time: 00:53:55
[2014/07/07 19:52:26] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1008, 1060). Elapsed time: 00:53:56
[2014/07/07 19:52:34] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 4453, 4505). Elapsed time: 00:54:04
[2014/07/07 19:52:53] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 2969, 3021). Elapsed time: 00:54:23
[2014/07/07 19:52:54] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 4771, 4823). Elapsed time: 00:54:23
[2014/07/07 19:54:14] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 2121, 2173). Elapsed time: 00:55:44
[2014/07/07 19:54:27] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1538, 1590). Elapsed time: 00:55:55
[2014/07/07 19:54:34] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 531, 583). Elapsed time: 00:56:02
[2014/07/07 19:54:41] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 4612, 4664). Elapsed time: 00:56:11
[2014/07/07 19:55:15] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 6626, 6678)
[2014/07/07 19:55:15] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 6573, 6625)
[2014/07/07 19:55:24] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 6520, 6572). Elapsed time: 00:56:53
[2014/07/07 19:55:46] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 6732, 6784)
[2014/07/07 19:55:47] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 6679, 6731)
[2014/07/07 19:56:15] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 6096, 6148). Elapsed time: 00:57:45
[2014/07/07 19:56:24] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1326, 1378). Elapsed time: 00:57:53
[2014/07/07 19:56:30] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 6785, 6837)
[2014/07/07 19:56:46] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 6838, 6890)
[2014/07/07 19:57:01] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 6891, 6943)
[2014/07/07 19:57:26] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 3658, 3710). Elapsed time: 00:58:56
[2014/07/07 19:57:36] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 6255, 6307). Elapsed time: 00:59:05
[2014/07/07 19:57:45] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 6944, 6996)
[2014/07/07 19:57:56] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 3764, 3816). Elapsed time: 00:59:26
[2014/07/07 19:58:00] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 6997, 7049)
[2014/07/07 19:58:11] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 902, 954). Elapsed time: 00:59:39
[2014/07/07 19:58:29] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 4930, 4982). Elapsed time: 00:59:57
[2014/07/07 19:58:30] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 7050, 7102)
[2014/07/07 19:58:35] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 743, 795). Elapsed time: 01:00:04
[2014/07/07 19:58:55] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 2545, 2597). Elapsed time: 01:00:23
[2014/07/07 19:59:00] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 7103, 7155)
[2014/07/07 19:59:00] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 7156, 7208)
[2014/07/07 19:59:01] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 7209, 7261)
[2014/07/07 19:59:02] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 372, 424). Elapsed time: 01:00:31
[2014/07/07 19:59:45] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 7262, 7314)
[2014/07/07 20:00:16] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 7315, 7367)
[2014/07/07 20:01:31] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 7368, 7420)
[2014/07/07 20:01:37] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 3287, 3339). Elapsed time: 01:03:05
[2014/07/07 20:01:56] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 4665, 4717). Elapsed time: 01:03:24
[2014/07/07 20:02:00] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 7421, 7473)
[2014/07/07 20:02:37] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 5089, 5141). Elapsed time: 01:04:06
[2014/07/07 20:03:01] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 7474, 7526)
[2014/07/07 20:03:29] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 107, 159). Elapsed time: 01:04:58
[2014/07/07 20:03:41] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 478, 530). Elapsed time: 01:05:09
[2014/07/07 20:03:46] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 5831, 5883). Elapsed time: 01:05:14
[2014/07/07 20:03:57] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1379, 1431). Elapsed time: 01:05:26
[2014/07/07 20:04:16] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 7527, 7579)
[2014/07/07 20:04:29] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 213, 265). Elapsed time: 01:05:59
[2014/07/07 20:04:53] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 2280, 2332). Elapsed time: 01:06:22
[2014/07/07 20:05:21] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1485, 1537). Elapsed time: 01:06:50
[2014/07/07 20:05:34] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 3022, 3074). Elapsed time: 01:07:01
[2014/07/07 20:06:12] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 5142, 5194). Elapsed time: 01:07:42
[2014/07/07 20:06:13] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 2068, 2120). Elapsed time: 01:07:41
[2014/07/07 20:06:14] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 5513, 5565). Elapsed time: 01:07:43
[2014/07/07 20:06:24] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 4400, 4452). Elapsed time: 01:07:53
[2014/07/07 20:06:40] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1803, 1855). Elapsed time: 01:08:08
[2014/07/07 20:06:42] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1114, 1166). Elapsed time: 01:08:10
[2014/07/07 20:06:46] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 7580, 7632)
[2014/07/07 20:07:00] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 160, 212). Elapsed time: 01:08:29
[2014/07/07 20:07:08] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 3976, 4028). Elapsed time: 01:08:36
[2014/07/07 20:07:16] Start running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 7633, 7685)
[2014/07/07 20:07:26] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 5778, 5830). Elapsed time: 01:08:55
[2014/07/07 20:08:02] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 319, 371). Elapsed time: 01:09:30
[2014/07/07 20:08:09] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 2916, 2968). Elapsed time: 01:09:38
[2014/07/07 20:08:37] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1750, 1802). Elapsed time: 01:10:06
[2014/07/07 20:08:39] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 5301, 5353). Elapsed time: 01:10:09
[2014/07/07 20:09:00] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1962, 2014). Elapsed time: 01:10:30
[2014/07/07 20:09:15] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 4241, 4293). Elapsed time: 01:10:43
[2014/07/07 20:09:31] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 5725, 5777). Elapsed time: 01:11:00
[2014/07/07 20:09:35] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 4824, 4876). Elapsed time: 01:11:03
[2014/07/07 20:11:00] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 1432, 1484). Elapsed time: 01:12:29
[2014/07/07 20:11:08] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 4559, 4611). Elapsed time: 01:12:37
[2014/07/07 20:11:23] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 4082, 4134). Elapsed time: 01:12:51
[2014/07/07 20:11:46] Finish running sift_encode_fc_sge(trecvidmed13, video-bg, fspace, hesaff, 256, 80, 0, 6202, 6254). Elapsed time: 01:13:16
